Modello,Imponibile,Prezzo
"iMac 24-M4 con CPU 8-core, GPU 8-core, 16GB 256GB","1.294,26",10.39
"iMac 24-M4 CPU 10-Core GPU 10-Core, 16GB, 256GB","1.499,18",14.49
"iMac 24 - M4 CPU 10-Core GPU 10-Core, 16GB, 512GB","1.704,10",3.19
"iMac 24 - M4 CPU 10-Core GPU 10-Core, 24GB, 512GB","1.909,02",7.29
"Mac mini - M4 CPU 10-Core GPU 10-Core, 16GB, 256GB","638,52",779
"Mac mini - M4 CPU 10-Core GPU 10-Core, 16GB, 512GB","843,44",1.29
"Mac mini - M4 CPU 10-Core GPU 10-Core, 24GB, 512GB","1.048,36",5.39
"Mac mini - M4 PRO CPU 12-Core GPU 16-Core, 24GB, 512GB","1.458,20",13.59
"Macbook Air 13 - M4 CPU 10-Core GPU 8-Core, 16GB, 256GB","982,79",4.19
"Macbook Air 13 - M4 CPU 10-Core GPU 10-Core, 16GB, 512GB","1.187,70",8.29
"Macbook Air 13 - M4 CPU 10-Core GPU 10-Core, 24GB, 512GB","1.392,62",12.39
"Macbook Air 15 - M4 CPU 10-Core GPU 10-Core, 16GB, 256GB","1.228,69",9.19
"Macbook Air 15 - M4 CPU 10-Core GPU 10-Core, 16GB, 512GB","1.433,61",13.29
"Macbook Air 15 - M4 CPU 10-Core GPU 10-Core, 24GB, 512GB","1.638,52",17.39
"Macbook Pro 14 - M5 CPU 10-Core GPU 10-Core, 16GB, 512GB","1.556,56",15.59
"Macbook Pro 14 - M5 CPU 10-Core GPU 10-Core, 16GB, 1TB","1.761,48",4.29
"Macbook Pro 14 - M5 CPU 10-Core GPU 10-Core, 24GB, 1TB","1.966,39",8.39
"Macbook Pro 14 - M4 PRO CPU 12-Core GPU 16-Core, 24GB, 512GB","2.007,38",9.29
"Macbook Pro 14 - M4 PRO CPU 14-Core GPU 20-Core, 24GB, 1TB","2.417,21",17.49
"Macbook Pro 14 - M4 MAX CPD 14-Core GPU 32-Core, 36GB, 1TB","3.236,89",18.49
"Macbook Pro 16 - M4 PRO CPU 14-Core GPU 20-Core, 24GB, 512GB","2.414,75",17.46
"Macbook Pro 16 - M4 PRO CPU 14-Core GPU 20-Core, 48GB, 512GB","2.827,05",10.29
"Macbook Pro 16 - M4 MAX CPU 14-Core GPU 32-Core, 36 GB, 1TB","3.482,79",8.09
"Macbook Pro 16 - M4 MAX CPU 16-Core GPU 40-Core, 48 GB, 1TB","3.974,59",18.09
"Mac Studio - M4 MAX CPU 14-Core GPU 32-Core ng16, 36 GB, 512GB","1.966,39",8.39
"Mac Studio - M3 ULTRA CPU 28-Core GPU 60-Core ng 32, 96 GB, 1TB","4.056,56",19.49